センサーデータの250cm以上をすべて250cmにまるめています。
タイムアウトを2.5 * 2 / 340 = 0.015sに設定できるかと思います。
250cm以上のデータを250cmに丸めてください。

Feature:c_01, Importance:3689
Feature:c_02, Importance:4739
Feature:c_03, Importance:4623
Feature:c_04, Importance:4467
Feature:c_05, Importance:3762
Feature:c_06, Importance:4089
Feature:c_07, Importance:4246
Feature:c_08, Importance:4058
Feature:c_09, Importance:4150
Feature:c_10, Importance:2864
Feature:c_11, Importance:3740
Feature:c_12, Importance:3979
Feature:c_13, Importance:3936
Feature:c_14, Importance:3804
Feature:c_15, Importance:2941
Feature:c_16, Importance:3782
Feature:c_17, Importance:3743
Feature:c_18, Importance:3463
Feature:c_19, Importance:3382
Feature:c_20, Importance:2208
Feature:c_21, Importance:3701
Feature:c_22, Importance:3720
Feature:c_23, Importance:3647
Feature:c_24, Importance:3824
Feature:c_25, Importance:2948
Feature:c_26, Importance:3633
Feature:c_27, Importance:3790
Feature:c_28, Importance:3829
Feature:c_29, Importance:3495
Feature:c_30, Importance:2663
Feature:c_31, Importance:3744
Feature:c_32, Importance:3786
Feature:c_33, Importance:3683
Feature:c_34, Importance:3912
Feature:c_35, Importance:3194
Feature:c_36, Importance:4137
Feature:c_37, Importance:4411
Feature:c_38, Importance:4465
Feature:c_39, Importance:4655
Feature:c_40, Importance:3735
Feature:d_01, Importance:10436
Feature:d_02, Importance:10183
Feature:d_03, Importance:9968
Feature:d_04, Importance:8063
Feature:d_05, Importance:10831
Feature:d_06, Importance:9963
Feature:d_07, Importance:7298
Feature:d_08, Importance:7624
Feature:d_09, Importance:10843
Feature:d_10, Importance:11343
Feature:c_diff_01_40, Importance:4852
Feature:c_diff_01_20, Importance:4089
Feature:c_diff_20_40, Importance:4196
Feature:c_diff_01_10, Importance:3291
Feature:c_diff_10_20, Importance:3350
Feature:c_diff_20_30, Importance:3648
Feature:c_diff_30_40, Importance:3857
Feature:c_diff_01_05, Importance:3433
Feature:c_diff_05_10, Importance:3433
Feature:c_diff_10_15, Importance:3440
Feature:c_diff_15_20, Importance:3209
Feature:c_diff_20_25, Importance:3233
Feature:c_diff_25_30, Importance:3519
Feature:c_diff_30_35, Importance:3431
Feature:c_diff_35_40, Importance:3855
Feature:c_div_01_40, Importance:4507
Feature:c_div_01_20, Importance:4249
Feature:c_div_20_40, Importance:4496
Feature:c_div_01_10, Importance:4627
Feature:c_div_10_20, Importance:4509
Feature:c_div_20_30, Importance:4464
Feature:c_div_30_40, Importance:4737
Feature:c_div_01_05, Importance:5682
Feature:c_div_05_10, Importance:5206
Feature:c_div_10_15, Importance:5121
Feature:c_div_15_20, Importance:5266
Feature:c_div_20_25, Importance:5013
Feature:c_div_25_30, Importance:5588
Feature:c_div_30_35, Importance:5945
Feature:c_div_35_40, Importance:5375
