Feature:c_01, Importance:4387
Feature:c_02, Importance:5716
Feature:c_03, Importance:5469
Feature:c_04, Importance:5137
Feature:c_05, Importance:4368
Feature:c_06, Importance:4823
Feature:c_07, Importance:4816
Feature:c_08, Importance:4749
Feature:c_09, Importance:4734
Feature:c_10, Importance:3104
Feature:c_11, Importance:4402
Feature:c_12, Importance:4504
Feature:c_13, Importance:4534
Feature:c_14, Importance:4477
Feature:c_15, Importance:3501
Feature:c_16, Importance:4361
Feature:c_17, Importance:4273
Feature:c_18, Importance:4323
Feature:c_19, Importance:4090
Feature:c_20, Importance:2644
Feature:c_21, Importance:4207
Feature:c_22, Importance:4274
Feature:c_23, Importance:4077
Feature:c_24, Importance:4288
Feature:c_25, Importance:3359
Feature:c_26, Importance:4166
Feature:c_27, Importance:4269
Feature:c_28, Importance:4272
Feature:c_29, Importance:4071
Feature:c_30, Importance:3221
Feature:c_31, Importance:4420
Feature:c_32, Importance:4478
Feature:c_33, Importance:4362
Feature:c_34, Importance:4490
Feature:c_35, Importance:3621
Feature:c_36, Importance:4829
Feature:c_37, Importance:5165
Feature:c_38, Importance:5128
Feature:c_39, Importance:5366
Feature:c_40, Importance:4287
Feature:d_04, Importance:12081
Feature:d_06, Importance:13438
Feature:d_09, Importance:12676
Feature:d_10, Importance:13982
Feature:c_diff_01_40, Importance:5271
Feature:c_diff_01_20, Importance:4678
Feature:c_diff_20_40, Importance:4568
Feature:c_diff_01_10, Importance:3975
Feature:c_diff_10_20, Importance:3899
Feature:c_diff_20_30, Importance:4222
Feature:c_diff_30_40, Importance:4524
Feature:c_diff_01_05, Importance:4106
Feature:c_diff_05_10, Importance:3864
Feature:c_diff_10_15, Importance:3977
Feature:c_diff_15_20, Importance:3823
Feature:c_diff_20_25, Importance:3817
Feature:c_diff_25_30, Importance:3963
Feature:c_diff_30_35, Importance:4173
Feature:c_diff_35_40, Importance:4309
Feature:c_div_01_40, Importance:5098
Feature:c_div_01_20, Importance:4649
Feature:c_div_20_40, Importance:5063
Feature:c_div_01_10, Importance:5300
Feature:c_div_10_20, Importance:5201
Feature:c_div_20_30, Importance:5074
Feature:c_div_30_40, Importance:5459
Feature:c_div_01_05, Importance:6474
Feature:c_div_05_10, Importance:6218
Feature:c_div_10_15, Importance:6071
Feature:c_div_15_20, Importance:6022
Feature:c_div_20_25, Importance:5830
Feature:c_div_25_30, Importance:6593
Feature:c_div_30_35, Importance:6585
Feature:c_div_35_40, Importance:6458
