カメラデータのみのモデルです。確率を返します。

Feature:c_01, Importance:7516
Feature:c_02, Importance:8261
Feature:c_03, Importance:7935
Feature:c_04, Importance:7488
Feature:c_05, Importance:6527
Feature:c_06, Importance:6912
Feature:c_07, Importance:6612
Feature:c_08, Importance:6745
Feature:c_09, Importance:6732
Feature:c_10, Importance:5610
Feature:c_11, Importance:6431
Feature:c_12, Importance:6468
Feature:c_13, Importance:6577
Feature:c_14, Importance:6435
Feature:c_15, Importance:5179
Feature:c_16, Importance:6224
Feature:c_17, Importance:6214
Feature:c_18, Importance:6276
Feature:c_19, Importance:5923
Feature:c_20, Importance:5119
Feature:c_21, Importance:6431
Feature:c_22, Importance:6207
Feature:c_23, Importance:6045
Feature:c_24, Importance:6561
Feature:c_25, Importance:5260
Feature:c_26, Importance:6181
Feature:c_27, Importance:6228
Feature:c_28, Importance:6258
Feature:c_29, Importance:6002
Feature:c_30, Importance:5437
Feature:c_31, Importance:6477
Feature:c_32, Importance:6420
Feature:c_33, Importance:6199
Feature:c_34, Importance:6474
Feature:c_35, Importance:5841
Feature:c_36, Importance:7057
Feature:c_37, Importance:7237
Feature:c_38, Importance:7627
Feature:c_39, Importance:8197
Feature:c_40, Importance:7840
Feature:c_diff_01_40, Importance:11765
Feature:c_diff_01_05, Importance:10105
Feature:c_diff_05_10, Importance:9530
Feature:c_diff_10_15, Importance:9667
Feature:c_diff_15_20, Importance:9557
Feature:c_diff_20_25, Importance:9570
Feature:c_diff_25_30, Importance:10288
Feature:c_diff_30_35, Importance:10161
Feature:c_diff_35_40, Importance:10469
