Feature:c_01, Importance:6630
Feature:c_02, Importance:7320
Feature:c_03, Importance:6977
Feature:c_04, Importance:6603
Feature:c_05, Importance:5382
Feature:c_06, Importance:6088
Feature:c_07, Importance:6153
Feature:c_08, Importance:6070
Feature:c_09, Importance:5868
Feature:c_10, Importance:4572
Feature:c_11, Importance:5680
Feature:c_12, Importance:5702
Feature:c_13, Importance:5768
Feature:c_14, Importance:5532
Feature:c_15, Importance:4167
Feature:c_16, Importance:5713
Feature:c_17, Importance:5318
Feature:c_18, Importance:5800
Feature:c_19, Importance:5335
Feature:c_20, Importance:4024
Feature:c_21, Importance:5543
Feature:c_22, Importance:5375
Feature:c_23, Importance:5554
Feature:c_24, Importance:5674
Feature:c_25, Importance:4204
Feature:c_26, Importance:5294
Feature:c_27, Importance:5451
Feature:c_28, Importance:5564
Feature:c_29, Importance:5555
Feature:c_30, Importance:4412
Feature:c_31, Importance:5632
Feature:c_32, Importance:5942
Feature:c_33, Importance:5678
Feature:c_34, Importance:6023
Feature:c_35, Importance:5013
Feature:c_36, Importance:6400
Feature:c_37, Importance:6823
Feature:c_38, Importance:6840
Feature:c_39, Importance:7170
Feature:c_40, Importance:6380
Feature:c_diff_01_40, Importance:8185
Feature:c_diff_01_05, Importance:5524
Feature:c_diff_05_10, Importance:5543
Feature:c_diff_10_15, Importance:5757
Feature:c_diff_15_20, Importance:5570
Feature:c_diff_20_25, Importance:5859
Feature:c_diff_25_30, Importance:5777
Feature:c_diff_30_35, Importance:5937
Feature:c_diff_35_40, Importance:6730
Feature:c_div_01_40, Importance:7241
Feature:c_div_01_05, Importance:8728
Feature:c_div_05_10, Importance:8849
Feature:c_div_10_15, Importance:8710
Feature:c_div_15_20, Importance:8641
Feature:c_div_20_25, Importance:8751
Feature:c_div_25_30, Importance:8809
Feature:c_div_30_35, Importance:9069
Feature:c_div_35_40, Importance:8871
