Feature:c_01, Importance:2361
Feature:c_02, Importance:2129
Feature:c_03, Importance:1685
Feature:c_04, Importance:1676
Feature:c_05, Importance:1741
Feature:c_06, Importance:1396
Feature:c_07, Importance:1537
Feature:c_08, Importance:1554
Feature:c_09, Importance:1371
Feature:c_10, Importance:1240
Feature:c_11, Importance:1412
Feature:c_12, Importance:1501
Feature:c_13, Importance:1458
Feature:c_14, Importance:1358
Feature:c_15, Importance:1202
Feature:c_16, Importance:1355
Feature:c_17, Importance:1271
Feature:c_18, Importance:1416
Feature:c_19, Importance:1245
Feature:c_20, Importance:1123
Feature:c_21, Importance:1438
Feature:c_22, Importance:1304
Feature:c_23, Importance:1242
Feature:c_24, Importance:1341
Feature:c_25, Importance:1184
Feature:c_26, Importance:1205
Feature:c_27, Importance:1207
Feature:c_28, Importance:1402
Feature:c_29, Importance:1314
Feature:c_30, Importance:1231
Feature:c_31, Importance:1332
Feature:c_32, Importance:1374
Feature:c_33, Importance:1394
Feature:c_34, Importance:1455
Feature:c_35, Importance:1487
Feature:c_36, Importance:1627
Feature:c_37, Importance:1899
Feature:c_38, Importance:1830
Feature:c_39, Importance:2004
Feature:c_40, Importance:2205
Feature:t_1_c_01, Importance:1997
Feature:t_1_c_02, Importance:1810
Feature:t_1_c_03, Importance:1669
Feature:t_1_c_04, Importance:1449
Feature:t_1_c_05, Importance:1495
Feature:t_1_c_06, Importance:1383
Feature:t_1_c_07, Importance:1277
Feature:t_1_c_08, Importance:1227
Feature:t_1_c_09, Importance:1185
Feature:t_1_c_10, Importance:1255
Feature:t_1_c_11, Importance:1161
Feature:t_1_c_12, Importance:1125
Feature:t_1_c_13, Importance:1171
Feature:t_1_c_14, Importance:1141
Feature:t_1_c_15, Importance:1157
Feature:t_1_c_16, Importance:1113
Feature:t_1_c_17, Importance:1108
Feature:t_1_c_18, Importance:1042
Feature:t_1_c_19, Importance:1191
Feature:t_1_c_20, Importance:1057
Feature:t_1_c_21, Importance:1087
Feature:t_1_c_22, Importance:1116
Feature:t_1_c_23, Importance:1073
Feature:t_1_c_24, Importance:1035
Feature:t_1_c_25, Importance:1042
Feature:t_1_c_26, Importance:1083
Feature:t_1_c_27, Importance:1123
Feature:t_1_c_28, Importance:1178
Feature:t_1_c_29, Importance:1265
Feature:t_1_c_30, Importance:1155
Feature:t_1_c_31, Importance:1021
Feature:t_1_c_32, Importance:1200
Feature:t_1_c_33, Importance:1225
Feature:t_1_c_34, Importance:1359
Feature:t_1_c_35, Importance:1403
Feature:t_1_c_36, Importance:1328
Feature:t_1_c_37, Importance:1351
Feature:t_1_c_38, Importance:1466
Feature:t_1_c_39, Importance:1789
Feature:t_1_c_40, Importance:2084
Feature:t_2_c_01, Importance:1714
Feature:t_2_c_02, Importance:1364
Feature:t_2_c_03, Importance:1413
Feature:t_2_c_04, Importance:1182
Feature:t_2_c_05, Importance:1369
Feature:t_2_c_06, Importance:1155
Feature:t_2_c_07, Importance:1035
Feature:t_2_c_08, Importance:1142
Feature:t_2_c_09, Importance:1101
Feature:t_2_c_10, Importance:1089
Feature:t_2_c_11, Importance:1130
Feature:t_2_c_12, Importance:1072
Feature:t_2_c_13, Importance:1082
Feature:t_2_c_14, Importance:1026
Feature:t_2_c_15, Importance:1078
Feature:t_2_c_16, Importance:992
Feature:t_2_c_17, Importance:956
Feature:t_2_c_18, Importance:973
Feature:t_2_c_19, Importance:1066
Feature:t_2_c_20, Importance:984
Feature:t_2_c_21, Importance:1163
