Feature:c_01, Importance:2969
Feature:c_02, Importance:3165
Feature:c_03, Importance:2816
Feature:c_04, Importance:2640
Feature:c_05, Importance:2453
Feature:c_06, Importance:2680
Feature:c_07, Importance:2461
Feature:c_08, Importance:2589
Feature:c_09, Importance:2640
Feature:c_10, Importance:1952
Feature:c_11, Importance:2343
Feature:c_12, Importance:2565
Feature:c_13, Importance:2471
Feature:c_14, Importance:2471
Feature:c_15, Importance:2122
Feature:c_16, Importance:2373
Feature:c_17, Importance:2443
Feature:c_18, Importance:2373
Feature:c_19, Importance:2301
Feature:c_20, Importance:1909
Feature:c_21, Importance:2487
Feature:c_22, Importance:2491
Feature:c_23, Importance:2455
Feature:c_24, Importance:2631
Feature:c_25, Importance:2128
Feature:c_26, Importance:2549
Feature:c_27, Importance:2608
Feature:c_28, Importance:2490
Feature:c_29, Importance:2671
Feature:c_30, Importance:2174
Feature:c_31, Importance:2727
Feature:c_32, Importance:2799
Feature:c_33, Importance:2770
Feature:c_34, Importance:2778
Feature:c_35, Importance:2415
Feature:c_36, Importance:2836
Feature:c_37, Importance:3255
Feature:c_38, Importance:3269
Feature:c_39, Importance:3411
Feature:c_40, Importance:3591
Feature:c_diff_01_40, Importance:3893
Feature:c_diff_01_05, Importance:2758
Feature:c_diff_05_10, Importance:2581
Feature:c_diff_10_15, Importance:2336
Feature:c_diff_15_20, Importance:2456
Feature:c_diff_20_25, Importance:2546
Feature:c_diff_25_30, Importance:2756
Feature:c_diff_30_35, Importance:2668
Feature:c_diff_35_40, Importance:3025
Feature:c_div_01_40, Importance:3143
Feature:c_div_01_05, Importance:3964
Feature:c_div_05_10, Importance:3817
Feature:c_div_10_15, Importance:3595
Feature:c_div_15_20, Importance:3459
Feature:c_div_20_25, Importance:3483
Feature:c_div_25_30, Importance:3858
Feature:c_div_30_35, Importance:3895
Feature:c_div_35_40, Importance:410
