0.1秒後のhandleデータを予想しているので、もしかするとスピードがある程度でていた方が安定するかも

Feature:c_01, Importance:4181
Feature:c_02, Importance:4150
Feature:c_03, Importance:3916
Feature:c_04, Importance:3873
Feature:c_05, Importance:3218
Feature:c_06, Importance:3285
Feature:c_07, Importance:3492
Feature:c_08, Importance:3335
Feature:c_09, Importance:3355
Feature:c_10, Importance:2843
Feature:c_11, Importance:3130
Feature:c_12, Importance:3239
Feature:c_13, Importance:3131
Feature:c_14, Importance:3378
Feature:c_15, Importance:2731
Feature:c_16, Importance:3070
Feature:c_17, Importance:3109
Feature:c_18, Importance:3133
Feature:c_19, Importance:2828
Feature:c_20, Importance:2513
Feature:c_21, Importance:3164
Feature:c_22, Importance:2949
Feature:c_23, Importance:2885
Feature:c_24, Importance:2973
Feature:c_25, Importance:2718
Feature:c_26, Importance:3022
Feature:c_27, Importance:3193
Feature:c_28, Importance:3223
Feature:c_29, Importance:3220
Feature:c_30, Importance:2835
Feature:c_31, Importance:3349
Feature:c_32, Importance:3121
Feature:c_33, Importance:3086
Feature:c_34, Importance:3255
Feature:c_35, Importance:3076
Feature:c_36, Importance:3511
Feature:c_37, Importance:3446
Feature:c_38, Importance:3878
Feature:c_39, Importance:4314
Feature:c_40, Importance:4411
Feature:d_01, Importance:8507
Feature:d_02, Importance:8616
Feature:d_03, Importance:8398
Feature:d_04, Importance:8696
Feature:d_05, Importance:9239
Feature:d_06, Importance:8655
Feature:d_07, Importance:7257
Feature:d_08, Importance:7690
Feature:d_09, Importance:9632
Feature:d_10, Importance:9129
Feature:c_diff_01_40, Importance:7414
Feature:c_diff_01_05, Importance:5146
Feature:c_diff_05_10, Importance:5310
Feature:c_diff_10_15, Importance:5332
Feature:c_diff_15_20, Importance:5376
Feature:c_diff_20_25, Importance:5374
Feature:c_diff_25_30, Importance:5304
Feature:c_diff_30_35, Importance:5502
Feature:c_diff_35_40, Importance:5751
