speedの値を返します

Feature:c_01, Importance:324
Feature:c_02, Importance:453
Feature:c_03, Importance:414
Feature:c_04, Importance:342
Feature:c_05, Importance:271
Feature:c_06, Importance:429
Feature:c_07, Importance:329
Feature:c_08, Importance:483
Feature:c_09, Importance:333
Feature:c_10, Importance:281
Feature:c_11, Importance:327
Feature:c_12, Importance:336
Feature:c_13, Importance:351
Feature:c_14, Importance:300
Feature:c_15, Importance:305
Feature:c_16, Importance:386
Feature:c_17, Importance:307
Feature:c_18, Importance:278
Feature:c_19, Importance:293
Feature:c_20, Importance:352
Feature:c_21, Importance:525
Feature:c_22, Importance:354
Feature:c_23, Importance:327
Feature:c_24, Importance:332
Feature:c_25, Importance:327
Feature:c_26, Importance:309
Feature:c_27, Importance:426
Feature:c_28, Importance:391
Feature:c_29, Importance:419
Feature:c_30, Importance:335
Feature:c_31, Importance:407
Feature:c_32, Importance:401
Feature:c_33, Importance:455
Feature:c_34, Importance:376
Feature:c_35, Importance:448
Feature:c_36, Importance:348
Feature:c_37, Importance:451
Feature:c_38, Importance:378
Feature:c_39, Importance:390
Feature:c_40, Importance:431
Feature:c_diff_01_40, Importance:591
Feature:c_diff_01_05, Importance:444
Feature:c_diff_05_10, Importance:443
Feature:c_diff_10_15, Importance:462
Feature:c_diff_15_20, Importance:486
Feature:c_diff_20_25, Importance:417
Feature:c_diff_25_30, Importance:431
Feature:c_diff_30_35, Importance:475
Feature:c_diff_35_40, Importance:500
Feature:c_div_01_40, Importance:459
Feature:c_div_01_05, Importance:591
Feature:c_div_05_10, Importance:634
Feature:c_div_10_15, Importance:691
Feature:c_div_15_20, Importance:516
Feature:c_div_20_25, Importance:516
Feature:c_div_25_30, Importance:622
Feature:c_div_30_35, Importance:713
Feature:c_div_35_40, Importance:742
