Feature:c_01, Importance:1528
Feature:c_02, Importance:1421
Feature:c_03, Importance:1133
Feature:c_04, Importance:1147
Feature:c_05, Importance:1270
Feature:c_06, Importance:1011
Feature:c_07, Importance:1101
Feature:c_08, Importance:1216
Feature:c_09, Importance:1077
Feature:c_10, Importance:987
Feature:c_11, Importance:996
Feature:c_12, Importance:1071
Feature:c_13, Importance:992
Feature:c_14, Importance:998
Feature:c_15, Importance:851
Feature:c_16, Importance:954
Feature:c_17, Importance:920
Feature:c_18, Importance:975
Feature:c_19, Importance:974
Feature:c_20, Importance:820
Feature:c_21, Importance:930
Feature:c_22, Importance:899
Feature:c_23, Importance:843
Feature:c_24, Importance:946
Feature:c_25, Importance:822
Feature:c_26, Importance:981
Feature:c_27, Importance:796
Feature:c_28, Importance:945
Feature:c_29, Importance:976
Feature:c_30, Importance:852
Feature:c_31, Importance:1009
Feature:c_32, Importance:1000
Feature:c_33, Importance:939
Feature:c_34, Importance:1059
Feature:c_35, Importance:1103
Feature:c_36, Importance:1071
Feature:c_37, Importance:1346
Feature:c_38, Importance:1422
Feature:c_39, Importance:1464
Feature:c_40, Importance:1670
Feature:d_01, Importance:2211
Feature:d_02, Importance:1823
Feature:d_03, Importance:2543
Feature:d_04, Importance:2587
Feature:d_05, Importance:2206
Feature:d_06, Importance:2985
Feature:d_07, Importance:2948
Feature:d_08, Importance:2260
Feature:d_09, Importance:3826
Feature:d_10, Importance:2740
Feature:t_1_c_01, Importance:1422
Feature:t_1_c_02, Importance:1312
Feature:t_1_c_03, Importance:1179
Feature:t_1_c_04, Importance:1045
Feature:t_1_c_05, Importance:1091
Feature:t_1_c_06, Importance:969
Feature:t_1_c_07, Importance:865
Feature:t_1_c_08, Importance:856
Feature:t_1_c_09, Importance:840
Feature:t_1_c_10, Importance:881
Feature:t_1_c_11, Importance:873
Feature:t_1_c_12, Importance:787
Feature:t_1_c_13, Importance:833
Feature:t_1_c_14, Importance:778
Feature:t_1_c_15, Importance:733
Feature:t_1_c_16, Importance:754
