3時点前のデータまで渡しています

Feature:c_01, Importance:2259
Feature:c_01_t1, Importance:2194
Feature:c_01_t2, Importance:1876
Feature:c_01_t3, Importance:2078
Feature:c_02, Importance:2267
Feature:c_02_t1, Importance:2024
Feature:c_02_t2, Importance:1752
Feature:c_02_t3, Importance:2061
Feature:c_03, Importance:2044
Feature:c_03_t1, Importance:1754
Feature:c_03_t2, Importance:1643
Feature:c_03_t3, Importance:1745
Feature:c_04, Importance:1996
Feature:c_04_t1, Importance:1561
Feature:c_04_t2, Importance:1574
Feature:c_04_t3, Importance:1743
Feature:c_05, Importance:1776
Feature:c_05_t1, Importance:1579
Feature:c_05_t2, Importance:1520
Feature:c_05_t3, Importance:1750
Feature:c_06, Importance:1753
Feature:c_06_t1, Importance:1497
Feature:c_06_t2, Importance:1485
Feature:c_06_t3, Importance:1607
Feature:c_07, Importance:1530
Feature:c_07_t1, Importance:1595
Feature:c_07_t2, Importance:1390
Feature:c_07_t3, Importance:1593
Feature:c_08, Importance:1589
Feature:c_08_t1, Importance:1361
Feature:c_08_t2, Importance:1362
Feature:c_08_t3, Importance:1698
Feature:c_09, Importance:1666
Feature:c_09_t1, Importance:1375
Feature:c_09_t2, Importance:1393
Feature:c_09_t3, Importance:1594
Feature:c_10, Importance:1586
Feature:c_10_t1, Importance:1547
Feature:c_10_t2, Importance:1349
Feature:c_10_t3, Importance:1532
Feature:c_11, Importance:1685
Feature:c_11_t1, Importance:1343
Feature:c_11_t2, Importance:1207
Feature:c_11_t3, Importance:1431
Feature:c_12, Importance:1758
Feature:c_12_t1, Importance:1379
Feature:c_12_t2, Importance:1242
Feature:c_12_t3, Importance:1490
Feature:c_13, Importance:1616
Feature:c_13_t1, Importance:1314
Feature:c_13_t2, Importance:1393
Feature:c_13_t3, Importance:1520
Feature:c_14, Importance:1540
Feature:c_14_t1, Importance:1275
Feature:c_14_t2, Importance:1315
Feature:c_14_t3, Importance:1541
Feature:c_15, Importance:1353
Feature:c_15_t1, Importance:1333
Feature:c_15_t2, Importance:1300
Feature:c_15_t3, Importance:1540
Feature:c_16, Importance:1538
Feature:c_16_t1, Importance:1308
Feature:c_16_t2, Importance:1254
Feature:c_16_t3, Importance:1427
Feature:c_17, Importance:1509
Feature:c_17_t1, Importance:1378
Feature:c_17_t2, Importance:1284
Feature:c_17_t3, Importance:1469
Feature:c_18, Importance:1511
Feature:c_18_t1, Importance:1315
Feature:c_18_t2, Importance:1413
Feature:c_18_t3, Importance:1347
Feature:c_19, Importance:1484
Feature:c_19_t1, Importance:1267
Feature:c_19_t2, Importance:1284
Feature:c_19_t3, Importance:1373
Feature:c_20, Importance:1197
Feature:c_20_t1, Importance:1370
Feature:c_20_t2, Importance:1238
Feature:c_20_t3, Importance:1411
Feature:c_21, Importance:1562
Feature:c_21_t1, Importance:1265
Feature:c_21_t2, Importance:1300
Feature:c_21_t3, Importance:1459
Feature:c_22, Importance:1517
Feature:c_22_t1, Importance:1382
Feature:c_22_t2, Importance:1298
Feature:c_22_t3, Importance:1461
Feature:c_23, Importance:1428
Feature:c_23_t1, Importance:1214
Feature:c_23_t2, Importance:1240
Feature:c_23_t3, Importance:1505
Feature:c_24, Importance:1456
Feature:c_24_t1, Importance:1233
Feature:c_24_t2, Importance:1292
Feature:c_24_t3, Importance:1473
Feature:c_25, Importance:1277
Feature:c_25_t1, Importance:1263
Feature:c_25_t2, Importance:1141
Feature:c_25_t3, Importance:1426
Feature:c_26, Importance:1399
Feature:c_26_t1, Importance:1215
Feature:c_26_t2, Importance:1144
Feature:c_26_t3, Importance:1355
Feature:c_27, Importance:1463
Feature:c_27_t1, Importance:1290
Feature:c_27_t2, Importance:1246
Feature:c_27_t3, Importance:1391
Feature:c_28, Importance:1531
Feature:c_28_t1, Importance:1347
Feature:c_28_t2, Importance:1213
Feature:c_28_t3, Importance:1316
Feature:c_29, Importance:1378
Feature:c_29_t1, Importance:1415
Feature:c_29_t2, Importance:1165
Feature:c_29_t3, Importance:1435
Feature:c_30, Importance:1360
Feature:c_30_t1, Importance:1254
Feature:c_30_t2, Importance:1236
Feature:c_30_t3, Importance:1320
Feature:c_31, Importance:1555
Feature:c_31_t1, Importance:1214
Feature:c_31_t2, Importance:1296
Feature:c_31_t3, Importance:1434
Feature:c_32, Importance:1556
Feature:c_32_t1, Importance:1345
Feature:c_32_t2, Importance:1295
Feature:c_32_t3, Importance:1473
Feature:c_33, Importance:1515
Feature:c_33_t1, Importance:1236
Feature:c_33_t2, Importance:1372
Feature:c_33_t3, Importance:1429
Feature:c_34, Importance:1797
Feature:c_34_t1, Importance:1337
Feature:c_34_t2, Importance:1239
Feature:c_34_t3, Importance:1439
Feature:c_35, Importance:1626
Feature:c_35_t1, Importance:1527
Feature:c_35_t2, Importance:1442
Feature:c_35_t3, Importance:1572
Feature:c_36, Importance:1744
Feature:c_36_t1, Importance:1482
Feature:c_36_t2, Importance:1519
Feature:c_36_t3, Importance:1544
Feature:c_37, Importance:2070
Feature:c_37_t1, Importance:1552
Feature:c_37_t2, Importance:1565
Feature:c_37_t3, Importance:1570
Feature:c_38, Importance:1970
Feature:c_38_t1, Importance:1644
Feature:c_38_t2, Importance:1598
Feature:c_38_t3, Importance:1596
Feature:c_39, Importance:2295
Feature:c_39_t1, Importance:2082
Feature:c_39_t2, Importance:1783
Feature:c_39_t3, Importance:1883
Feature:c_40, Importance:2487
Feature:c_40_t1, Importance:2044
Feature:c_40_t2, Importance:1992
Feature:c_40_t3, Importance:2202
Feature:c_diff_01_05, Importance:2922
Feature:c_diff_01_40, Importance:4793
Feature:c_diff_05_10, Importance:2904
Feature:c_diff_10_15, Importance:2706
Feature:c_diff_15_20, Importance:2685
Feature:c_diff_20_25, Importance:2918
Feature:c_diff_25_30, Importance:2959
Feature:c_diff_30_35, Importance:3097
Feature:c_diff_35_40, Importance:3163
Feature:d_01, Importance:3627
Feature:d_01_t1, Importance:2981
Feature:d_01_t2, Importance:2787
Feature:d_01_t3, Importance:3194
Feature:d_02, Importance:3109
Feature:d_02_t1, Importance:3150
Feature:d_02_t2, Importance:3430
Feature:d_02_t3, Importance:4048
Feature:d_03, Importance:4254
Feature:d_03_t1, Importance:3908
Feature:d_03_t2, Importance:3981
Feature:d_03_t3, Importance:4226
Feature:d_04, Importance:4321
Feature:d_04_t1, Importance:3909
Feature:d_04_t2, Importance:3559
Feature:d_04_t3, Importance:3710
Feature:d_05, Importance:4103
Feature:d_05_t1, Importance:3875
Feature:d_05_t2, Importance:4276
Feature:d_05_t3, Importance:4761
Feature:d_06, Importance:4560
Feature:d_06_t1, Importance:3915
Feature:d_06_t2, Importance:3710
Feature:d_06_t3, Importance:3449
Feature:d_07, Importance:4086
Feature:d_07_t1, Importance:2787
Feature:d_07_t2, Importance:2568
Feature:d_07_t3, Importance:2406
Feature:d_08, Importance:3605
Feature:d_08_t1, Importance:3320
Feature:d_08_t2, Importance:3161
Feature:d_08_t3, Importance:3206
Feature:d_09, Importance:5440
Feature:d_09_t1, Importance:4554
Feature:d_09_t2, Importance:4075
Feature:d_09_t3, Importance:3949
Feature:d_10, Importance:4284
Feature:d_10_t1, Importance:3860
Feature:d_10_t2, Importance:3426
Feature:d_10_t3, Importance:3770
